name,state,school,weight,classification,year,wins,losses,placement,final_record,seed,opponents_beaten
Michael Lamb,NJ,Haddonfield,126,OPEN,2026,3,2,9,3-2,20,Andrew Bonita|Joseph Pellicci|Giovanni Gutierrez
Giovanni Gutierrez,NJ,Hackettstown,126,OPEN,2026,0,2,9,0-2,29,
Yankee Mabee,NJ,Caldwell,126,OPEN,2026,0,2,9,0-2,30,
Joseph Pellicci,NJ,Paramus Catholic,126,OPEN,2026,1,1,9,1-1,14,Joseph Viola
Joseph Viola,NJ,Seton Hall Prep,126,OPEN,2026,1,2,9,1-2,19,Yankee Mabee
Terrance Fearon,NJ,Hunterdon Central,126,OPEN,2026,4,3,8,4-3,11,Nicholas Campanelli|Christian Hoopes|Aidan Flynn|Parker Humphrey
Parker Humphrey,NJ,Hopewell Valley,126,OPEN,2026,0,2,9,0-2,27,
Christian Bastante,NJ,West Essex,126,OPEN,2026,0,2,9,0-2,26,
Chace Severs,NJ,Lakeland,126,OPEN,2026,1,2,9,1-2,23,Christian Bastante
Chase Sudano,NJ,St. Augustine,126,OPEN,2026,0,2,9,0-2,18,
Anthony Mason,NJ,Southern,126,OPEN,2026,3,1,9,3-1,2,Matthew Gould|Dante DePaul|Chase Sudano
Cassen Correggio,NJ,Don Bosco,132,OPEN,2026,0,2,9,0-2,32,
Dmytro Bohdan,NJ,Paramus,132,OPEN,2026,3,2,9,3-2,17,Joseph Rizzuto|Steven Ham|Cassen Correggio
Julian Bednar,NJ,Delaware Valley,132,OPEN,2026,0,2,9,0-2,24,
